company_name,ticker,year_comp,ROA,ROE,PE_ratio,PB_ratio,EPS,FCF,profit_margin,asset_turnover,market_cap,annual_return,stock_data_missing
HILTON WORLDWIDE HOLDINGS,HLT,2018,0.05,1.39,28.38,39.35,2.53,1183.0,0.09,0.64,60252664800.0,-0.55,False
HILTON WORLDWIDE HOLDINGS,HLT,2019,0.06,-1.83,36.13,-66.04,3.07,1303.0,0.09,0.63,60252664800.0,33.16,False
HILTON WORLDWIDE HOLDINGS,HLT,2020,-0.04,0.48,-43.1,-20.68,-2.58,662.0,-0.17,0.26,60252664800.0,0.04,False
HILTON WORLDWIDE HOLDINGS,HLT,2021,0.03,-0.5,106.15,-53.01,1.47,74.0,0.07,0.37,60252664800.0,13.93,False
HILTON WORLDWIDE HOLDINGS,HLT,2022,0.08,-1.14,27.69,-31.53,4.56,1642.0,0.14,0.57,60252664800.0,-0.81,False
HILTON WORLDWIDE HOLDINGS,HLT,2023,0.07,-0.48,41.81,-20.22,4.35,1795.0,0.11,0.66,60252664800.0,18.21,False
HILTON WORLDWIDE HOLDINGS,HLT,2024,0.09,-0.41,39.93,-16.45,6.19,1917.0,0.14,0.68,60252664800.0,10.78,False
HILTON WORLDWIDE HOLDINGS,HLT,2025,0.09,-0.27,46.53,-12.58,6.17,2028.0,0.12,0.72,60252664800.0,,True
HYATT HOTELS CORP,H,2018,0.1,0.21,9.96,2.09,6.79,44.0,0.17,0.58,6638684200.0,-0.46,False
HYATT HOTELS CORP,H,2019,0.09,0.19,12.25,2.37,7.32,27.0,0.15,0.6,6638684200.0,9.44,False
HYATT HOTELS CORP,H,2020,-0.08,-0.22,-10.7,2.34,-6.94,-733.0,-0.34,0.23,6638684200.0,-0.78,False
HYATT HOTELS CORP,H,2021,-0.02,-0.06,-44.91,2.8,-2.14,204.0,-0.07,0.24,6638684200.0,6.74,False
HYATT HOTELS CORP,H,2022,0.04,0.12,21.69,2.67,4.17,473.0,0.08,0.48,6638684200.0,-0.37,False
HYATT HOTELS CORP,H,2023,0.02,0.06,62.16,3.84,2.1,599.0,0.03,0.52,6638684200.0,18.29,False
HYATT HOTELS CORP,H,2024,0.1,0.37,12.09,4.42,12.99,466.0,0.19,0.5,6638684200.0,3.55,False
HYATT HOTELS CORP,H,2025,-0.0,-0.02,-294.45,4.59,-0.54,159.0,-0.01,0.51,6638684200.0,,True
INTERCONTINENTAL HOTELS GRP,IHG,2018,0.09,-0.32,29.55,-9.56,1.85,620.0,0.08,1.16,1655814600.0,-0.66,False
INTERCONTINENTAL HOTELS GRP,IHG,2019,0.1,-0.26,32.64,-8.53,2.1,578.0,0.08,1.16,1655814600.0,6.04,False
INTERCONTINENTAL HOTELS GRP,IHG,2020,-0.05,0.14,-45.58,-6.38,-1.43,111.0,-0.11,0.48,1655814600.0,-0.35,False
INTERCONTINENTAL HOTELS GRP,IHG,2021,0.06,-0.18,44.86,-8.06,1.45,619.0,0.09,0.62,1655814600.0,0.01,False
INTERCONTINENTAL HOTELS GRP,IHG,2022,0.09,-0.23,28.16,-6.54,2.07,592.0,0.1,0.92,1655814600.0,-0.51,False
INTERCONTINENTAL HOTELS GRP,IHG,2023,0.16,-0.38,20.55,-7.9,4.44,865.0,0.16,0.96,1655814600.0,40.92,False
INTERCONTINENTAL HOTELS GRP,IHG,2024,0.13,-0.27,32.07,-8.71,3.9,695.0,0.13,1.04,1655814600.0,13.08,False
INTERCONTINENTAL HOTELS GRP,IHG,2025,0.14,-0.28,28.69,-7.93,4.91,870.0,0.15,0.97,1655814600.0,,True
MARRIOTT INTL INC,MAR,2018,0.08,0.86,19.93,17.08,5.45,1801.0,0.09,0.88,77515473420.0,-0.82,False
MARRIOTT INTL INC,MAR,2019,0.05,1.81,39.58,71.67,3.83,1032.0,0.06,0.84,77515473420.0,15.07,False
MARRIOTT INTL INC,MAR,2020,-0.01,-0.62,-160.97,99.95,-0.82,1504.0,-0.03,0.43,77515473420.0,-0.66,False
MARRIOTT INTL INC,MAR,2021,0.04,0.78,49.2,38.24,3.36,994.0,0.08,0.54,77515473420.0,5.06,False
MARRIOTT INTL INC,MAR,2022,0.1,4.15,20.48,85.04,7.27,2031.0,0.11,0.84,77515473420.0,-0.54,False
MARRIOTT INTL INC,MAR,2023,0.12,-4.52,22.05,-99.69,10.23,2718.0,0.13,0.92,77515473420.0,29.14,False
MARRIOTT INTL INC,MAR,2024,0.09,-0.79,33.38,-26.5,8.36,1999.0,0.09,0.96,77515473420.0,4.92,False
MARRIOTT INTL INC,MAR,2025,0.09,-0.69,32.55,-22.45,9.53,2608.0,0.1,0.95,77515473420.0,,True
